rank,sweep_stage,title,year,venue,authors,doi,url,source,citation_count,query_hits,concepts,focus_tags,relevance_score,hostile_score,abstract_snippet,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,hostile,"Unified Learning from Demonstrations, Corrections, and Preferences during Physical Human-Robot Interaction",2023,ACM Transactions on Human-Robot Interaction,Shaunak A. Mehta; Dylan P. Losey,10.1145/3623384,https://doi.org/10.1145/3623384,openalex,19,coactive_learning; correction_learning; hri_correction; human_feedback; kinesthetic_teaching; lfd; physical_correction; shared_autonomy,Artificial intelligence; Computer science; Human-computer interaction; Human-robot interaction; Leverage (statistics); Robot; Scratch; Task (project management),physical correction; kinesthetic teaching; preference learning; reward inference; embodied hri,27.679,35.597,"Humans can leverage physical interaction to teach robot arms. This physical interaction takes multiple forms depending on the task, the user, and what the robot has learned so far. State-of-the-art approaches focus on learning from a single modality, or combine some interaction types. Some methods do so by assuming that the robot has prior information about the features of the task and the reward structure. By contrast, in this article, we introduce an algorithmic formalism that unites learning from demonstrations, corrections, and preferences. Our approach makes no assumptions about the tasks",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy; future behavior changes smoothly with the learned cost or trajectory parameters,feature map; trajectory parameterization; reward family,physical correction energy may lie in the nullspace of the robot's learning update; the smallest useful correction may not be a preference query; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
2,hostile,"Unified Learning from Demonstrations, Corrections, and Preferences during Physical Human-Robot Interaction",2022,arXiv (Cornell University),Shaunak A. Mehta; Dylan P. Losey,10.48550/arxiv.2207.03395,https://doi.org/10.48550/arxiv.2207.03395,openalex,2,correction_learning; hri_correction; lfd; physical_correction,Artificial intelligence; Computer science; Focus (optics); Human-computer interaction; Leverage (statistics); Robot; Scratch; Task (project management),physical correction; kinesthetic teaching; preference learning; reward inference; embodied hri,23.551,28.003,"Humans can leverage physical interaction to teach robot arms. This physical interaction takes multiple forms depending on the task, the user, and what the robot has learned so far. State-of-the-art approaches focus on learning from a single modality, or combine multiple interaction types by assuming that the robot has prior information about the human's intended task. By contrast, in this paper we introduce an algorithmic formalism that unites learning from demonstrations, corrections, and preferences. Our approach makes no assumptions about the tasks the human wants to teach the robot; instea",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy; future behavior changes smoothly with the learned cost or trajectory parameters,trajectory parameterization; reward family,physical correction energy may lie in the nullspace of the robot's learning update; the smallest useful correction may not be a preference query; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
3,hostile,Quantifying Hypothesis Space Misspecification in Learning From Human-Robot Demonstrations and Physical Corrections,2020,IEEE Transactions on Robotics,Andreea Bobu; Andrea Bajcsy; Jaime F. Fisac; Sampada Deglurkar; Anca D. Dragan,10.1109/tro.2020.2971415,https://doi.org/10.1109/tro.2020.2971415,openalex,25,coactive_learning; correction_learning; human_feedback; interactive_imitation; kinesthetic_teaching; physical_correction; shared_autonomy,Artificial intelligence; Computer science; Human-robot interaction; Motion (physics); Robot; Situational ethics; Space (punctuation); Task (project management),physical correction; kinesthetic teaching; preference learning; reward inference,22.598,28.695,"The human input has enabled autonomous systems to improve their capabilities and achieve complex behaviors that are otherwise challenging to generate automatically. Recent work focuses on how robots can use such inputs-such as, demonstrations or corrections-to learn intended objectives. These techniques assume that the human`s desired objective already exists within the robot's hypothesis space. In reality, this assumption is often inaccurate: there will always be situations where the person might care about aspects of the task that the robot does not know about. Without this knowledge, the ro",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy; future behavior changes smoothly with the learned cost or trajectory parameters,reward family,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
4,hostile,Learning the Correct Robot Trajectory in Real-Time from Physical Human Interactions,2019,ACM Transactions on Human-Robot Interaction,Dylan P. Losey; Marcia K. O'Malley,10.1145/3354139,https://doi.org/10.1145/3354139,openalex,31,coactive_learning; hri_correction; kinesthetic_teaching; physical_correction; shared_autonomy,Artificial intelligence; Computer science; Controller (irrigation); Iterative learning control; Linear-quadratic regulator; Robot; Trajectory; Trajectory optimization,physical correction; kinesthetic teaching; preference learning; reward inference; intervention learning; safety/control; embodied hri,21.941,30.178,"We present a learning and control strategy that enables robots to harness physical human interventions to update their trajectory and goal during autonomous tasks. Within the state of the art, the robot typically reacts to physical interactions by modifying a local segment of its trajectory, or by searching for the global trajectory offline, using either replanning or previous demonstrations. Instead, we explore a one-shot approach: here, the robot updates its entire trajectory and goal in real time without relying on multiple iterations, offline demonstrations, or replanning. Our solution is",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy; future behavior changes smoothly with the learned cost or trajectory parameters,trajectory parameterization; reward family,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
5,hostile,Learning reward functions from diverse sources of human feedback: Optimally integrating demonstrations and preferences,2021,The International Journal of Robotics Research,Erdem Byk; Dylan P. Losey; Malayandi Palan; Nicholas C. Landolfi; Gleb Shevchuk; Dorsa Sadigh,10.1177/02783649211041652,https://doi.org/10.1177/02783649211041652,openalex,21,kinesthetic_teaching; lfd,Computer science; Function (biology); Human-computer interaction; Leverage (statistics); Preference; Reinforcement learning; Usability; Variety (cybernetics),kinesthetic teaching; preference learning; reward inference,20.822,26.806,"Reward functions are a common way to specify the objective of a robot. As designing reward functions can be extremely challenging, a more promising approach is to directly learn reward functions from human teachers. Importantly, data from human teachers can be collected either passively or actively in a variety of forms: passive data sources include demonstrations (e.g., kinesthetic guidance), whereas preferences (e.g., comparative rankings) are actively elicited. Prior research has independently applied reward learning to these different data sources. However, there exist many domains where m",Claims that ranking or preference feedback can teach robot objectives without direct reward engineering.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy,reward family,physical correction energy may lie in the nullspace of the robot's learning update; the smallest useful correction may not be a preference query; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
6,hostile,Recent Advances in Robot Learning from Demonstration,2019,Annual Review of Control Robotics and Autonomous Systems,Harish Ravichandar; Athanasios Polydoros; Sonia Chernova; Aude Billard,10.1146/annurev-control-100819-063206,https://doi.org/10.1146/annurev-control-100819-063206,openalex,717,correction_learning; hri_correction; human_feedback; interactive_imitation; intervention_learning; kinesthetic_teaching; lfd; physical_correction,Artificial intelligence; Automation; Computer science; Context (archaeology); Field (mathematics); Robot; Robot learning; Robotics,physical correction; kinesthetic teaching; intervention learning; embodied hri,20.056,28.056,"In the context of robotics and automation, learning from demonstration (LfD) is the paradigm in which robots acquire new skills by learning to imitate an expert. The choice of LfD over other robot learning methods is compelling when ideal behavior can be neither easily scripted (as is done in traditional robot programming) nor easily defined as an optimization problem, but can be demonstrated. While there have been multiple surveys of this field in the past, there is a need for a new one given the considerable growth in the number of publications in recent years. This review aims to provide an",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
7,hostile,Learning Robot Objectives from Physical Human Interaction,2017,Rice University's digital scholarship archive (Rice University),Andrea Bajcsy; Dylan P. Losey; Marcia K. O'Malley; Anca D. Dragan,,https://openalex.org/W2769520592,openalex,64,coactive_learning; correction_learning; hri_correction; human_feedback; intervention_learning; kinesthetic_teaching; physical_correction; shared_autonomy,Artificial intelligence; Computer science; Human-computer interaction; Human-robot interaction; Robot,physical correction; kinesthetic teaching; preference learning; reward inference; intervention learning; embodied hri,19.906,26.615,"When humans and robots work in close proximity, physical interaction is inevitable. Traditionally, robots treat physical interaction as a disturbance, and resume their original behavior after the interaction ends. In contrast, we argue that physical human interaction is informative: it is useful information about how the robot should be doing its task. We formalize learning from such interactions as a dynamical system in which the task objective has parameters that are part of the hidden state, and physical human interactions are observations about these parameters. We derive an online approxi","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Infers an objective or reward model from observed human input, demonstrations, or feedback.",the feedback can be explained by a stable latent objective,reward family; policy class,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
8,hostile,Learning from Interventions: Human-robot interaction as both explicit and implicit feedback,2020,Robotics: Science and Systems,Jonathan Spencer; Sanjiban Choudhury; Matt Barnes; Matthew Schmittle; Mung Chiang; Peter J. Ramadge; Siddhartha S Srinivasa,10.15607/rss.2020.xvi.055,https://doi.org/10.15607/rss.2020.xvi.055,openalex+semanticscholar,79,correction_learning; hri_correction; human_feedback; interactive_imitation; kinesthetic_teaching; physical_correction,Artificial intelligence; Computer science; Human-computer interaction; Human-robot interaction; Psychiatry; Psychological intervention; Psychology; Robot,physical correction; kinesthetic teaching; intervention learning; safety/control; embodied hri,19.748,24.594,"Scalable robot learning from seamless human-robot interaction is critical if robots are to solve a multitude of tasks in the real world. Current approaches to imitation learning suffer from one of two drawbacks. On the one hand, they rely solely on off-policy human demonstration, which in some cases leads to a mismatch in train-test distribution. On the other, they burden the human to label every state the learner visits, rendering it impractical in many applications. We argue that learning interactively from expert interventions enjoys the best of both worlds. Our key insight is that any amou",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the teacher can show behavior close enough to the desired policy,policy class,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
9,hostile,Learning mobile robot motion control from demonstration and corrective feedback,2009,,Brett Browning; Manuela Veloso; Brenna Argall,,https://openalex.org/W1599441703,openalex,22,human_feedback; lfd; physical_correction,Artificial intelligence; Computer science; Control engineering; Mobile robot; Motion (physics); Motion control; Robot; Robot control,physical correction; kinesthetic teaching; safety/control,19.592,23.606,"Fundamental to the successful, autonomous operation of mobile robots are robust motion control algorithms. Motion control algorithms determine an appropriate action to take based on the current state of the world. A robot observes the world through sensors, and executes physical actions through actuation mechanisms. Sensors are noisy and can mislead, however, and actions are non-deterministic and thus execute with uncertainty. Furthermore, the trajectories produced by the physical motion devices of mobile robots are complex, which make them difficult to model and treat with traditional control",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the teacher can show behavior close enough to the desired policy,policy class,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
10,hostile,An Incremental Inverse Reinforcement Learning Approach for Motion Planning with Separated Path and Velocity Preferences,2023,Robotics,Armin Avaei; Linda van der Spaa; Luka Peternel; Jens Kober,10.3390/robotics12020061,https://doi.org/10.3390/robotics12020061,openalex,11,coactive_learning,Motion planning; Computer science; Trajectory; Flexibility (engineering); Path (computing); Reinforcement learning; Task (project management); Set (abstract data type),kinesthetic teaching; preference learning; reward inference; safety/control,19.291,26.853,"Humans often demonstrate diverse behaviors due to their personal preferences, for instance, related to their individual execution style or personal margin for safety. In this paper, we consider the problem of integrating both path and velocity preferences into trajectory planning for robotic manipulators. We first learn reward functions that represent the user path and velocity preferences from kinesthetic demonstration. We then optimize the trajectory in two steps, first the path and then the velocity, to produce trajectories that adhere to both task requirements and user preferences. We desi",Claims that ranking or preference feedback can teach robot objectives without direct reward engineering.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy; future behavior changes smoothly with the learned cost or trajectory parameters,feature map; trajectory parameterization; reward family,physical correction energy may lie in the nullspace of the robot's learning update; the smallest useful correction may not be a preference query; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
